Signal Legend:

Key        Signal Name

0        = rom:inst2|q
1        = fft:inst1|source_real
2        = fft:inst1|source_imag
3        = data_modulus:inst9|data_modulus
4        = fir:inst|ast_source_data

Data Table:

Signals-> 0     1    2    3   4        

sample

144       -2048 0    0    0   3121487  
145       -2048 0    0    0   2847122  
146       -2048 0    0    5   2523617  
147       -2048 0    0    0   2146877  
148       -2048 0    0    0   1725092  
149       -2048 0    0    0   1262357  
150       -2048 0    0    0   770957   
151       -2048 -1   -1   0   259082   
152       -2048 0    0    0   -260983  
153       -2048 0    0    0   -772858  
154       -2048 0    0    1   -1264258 
155       -2048 0    0    0   -1726993 
156       -2048 0    0    0   -2148778 
157       -2048 0    0    0   -2525518 
158       -2048 0    0    0   -2849023 
159       -2048 -1   1    0   -3123388 
160       -2048 0    0    0   -3344518 
161       -2048 0    0    0   -3520603 
162       -2048 0    0    1   -3651643 
163       -2048 0    0    0   -3745828 
164       -2048 0    0    0   -3811348 
165       -2048 0    0    0   -3852298 
166       -2048 0    0    0   -3876868 
167       -2048 0    0    0   -3889153 
168       -2048 0    0    0   -3893248 
169       -2048 0    0    0   -3893248 
170       -2048 0    0    0   -3893248 
171       -2048 0    0    0   -3893248 
172       -2048 0    0    0   -3893248 
173       -2048 0    0    0   -3893248 
174       -2048 0    0    0   -3893248 
175       -2048 -1   1    0   -3893248 
176       -2048 0    0    0   -3893248 
177       -2048 0    0    0   -3893248 
178       -2048 0    0    1   -3893248 
179       -2048 0    0    0   -3893248 
180       -2048 0    0    0   -3893248 
181       -2048 0    0    0   -3893248 
182       -2048 0    0    0   -3893248 
183       -2048 -2   -4   0   -3893248 
184       -2048 0    0    0   -3893248 
185       -2048 0    0    0   -3893248 
186       -2048 0    0    4   -3893248 
187       -2048 0    0    0   -3893248 
188       -2048 0    0    0   -3893248 
189       -2048 0    0    0   -3893248 
190       -2048 0    0    0   -3893248 
191       -2048 7    -1   0   -3893248 
192       -2048 0    0    0   -3893248 
193       -2048 0    0    0   -3893248 
194       -2048 0    0    7   -3893248 
195       -2048 0    0    0   -3893248 
196       -2048 0    0    0   -3893248 
197       -2048 0    0    0   -3893248 
198       -2048 0    0    0   -3893248 
199       -2048 -1   9    0   -3893248 
200       -2048 0    0    0   -3893248 
201       -2048 0    0    0   -3893248 
202       -2048 0    0    9   -3893248 
203       -2048 0    0    0   -3893248 
204       -2048 0    0    0   -3893248 
205       -2048 0    0    0   -3893248 
206       -2048 0    0    0   -3893248 
207       -2048 -9   -2   0   -3893248 
208       -2048 0    0    0   -3893248 
209       -2048 0    0    0   -3893248 
210       -2048 0    0    9   -3893248 
211       -2048 0    0    0   -3893248 
212       -2048 0    0    0   -3893248 
213       -2048 0    0    0   -3893248 
214       -2048 0    0    0   -3893248 
215       -2048 6    -5   0   -3893248 
216       -2048 0    0    0   -3893248 
217       -2048 0    0    0   -3893248 
218       -2048 0    0    7   -3893248 
219       -2048 0    0    0   -3893248 
220       -2048 0    0    0   -3893248 
221       -2048 0    0    0   -3893248 
222       -2048 0    0    0   -3893248 
223       -2048 -5   7    0   -3893248 
224       -2048 0    0    0   -3893248 
225       -2048 0    0    0   -3893248 
226       -2048 0    0    8   -3893248 
227       -2048 0    0    0   -3893248 
228       -2048 0    0    0   -3893248 
229       -2048 0    0    0   -3893248 
230       -2048 0    0    0   -3893248 
231       -2048 -3   -14  0   -3893248 
232       -2048 0    0    0   -3893248 
233       -2048 0    0    0   -3893248 
234       -2048 0    0    14  -3893248 
235       -2048 0    0    0   -3893248 
236       -2048 0    0    0   -3893248 
237       -2048 0    0    0   -3893248 
238       -2048 0    0    0   -3893248 
239       -2048 20   6    0   -3893248 
240       -2048 0    0    0   -3893248 
241       -2048 0    0    0   -3893248 
242       -2048 0    0    20  -3893248 
